# index 0: u''=-u
0 0 1 
0.000224664 0.000224664 1 
0.000438556 0.000438556 1 
0.000643446 0.000643446 1 
0.000840771 0.000840771 1 
0.00103171 0.00103171 0.999999 
0.00121722 0.00121722 0.999999 
0.00139812 0.00139812 0.999999 
0.00157507 0.00157507 0.999999 
0.00174864 0.00174864 0.999998 
0.0019193 0.0019193 0.999998 
0.00208746 0.00208746 0.999998 
0.00225346 0.00225346 0.999997 
0.0024176 0.00241759 0.999997 
0.00258011 0.00258011 0.999997 
0.00274123 0.00274122 0.999996 
0.00290113 0.00290112 0.999996 
0.00305997 0.00305997 0.999995 
0.00321789 0.00321789 0.999995 
0.00337502 0.00337501 0.999994 
0.00353145 0.00353144 0.999994 
0.00368727 0.00368726 0.999993 
0.00384256 0.00384255 0.999993 
0.00399739 0.00399738 0.999992 
0.00415182 0.00415181 0.999991 
0.0043059 0.00430588 0.999991 
0.00445967 0.00445965 0.99999 
0.00461317 0.00461315 0.999989 
0.00476643 0.00476642 0.999989 
0.0049195 0.00491948 0.999988 
0.00507238 0.00507236 0.999987 
0.00522511 0.00522509 0.999986 
0.0053777 0.00537768 0.999986 
0.00553017 0.00553015 0.999985 
0.00568254 0.00568251 0.999984 
0.00583482 0.00583479 0.999983 
0.00598702 0.00598698 0.999982 
0.00613914 0.0061391 0.999981 
0.00629121 0.00629117 0.99998 
0.00644322 0.00644318 0.999979 
0.00659519 0.00659514 0.999978 
0.00674711 0.00674706 0.999977 
0.006899 0.00689895 0.999976 
0.00705086 0.0070508 0.999975 
0.00720269 0.00720263 0.999974 
0.00735449 0.00735443 0.999973 
0.00750628 0.00750621 0.999972 
0.00765805 0.00765797 0.999971 
0.0078098 0.00780972 0.99997 
0.00796154 0.00796145 0.999968 
0.00811326 0.00811317 0.999967 
0.00826497 0.00826488 0.999966 
0.00841668 0.00841658 0.999965 
0.00856838 0.00856827 0.999963 
0.00872006 0.00871995 0.999962 
0.00887175 0.00887163 0.999961 
0.00902342 0.0090233 0.999959 
0.0091751 0.00917497 0.999958 
0.00932677 0.00932663 0.999957 
0.00947843 0.00947829 0.999955 
0.00963009 0.00962994 0.999954 
0.00978175 0.0097816 0.999952 
0.00993341 0.00993324 0.999951 
0.0100851 0.0100849 0.999949 
0.0102367 0.0102365 0.999948 
0.0103884 0.0103882 0.999946 
0.01054 0.0105398 0.999944 
0.0106917 0.0106915 0.999943 
0.0108433 0.0108431 0.999941 
0.010995 0.0109947 0.99994 
0.0111466 0.0111464 0.999938 
0.0112982 0.011298 0.999936 
0.0114499 0.0114496 0.999934 
0.0116015 0.0116013 0.999933 
0.0117532 0.0117529 0.999931 
0.0119048 0.0119045 0.999929 
0.0120565 0.0120562 0.999927 
0.0122081 0.0122078 0.999925 
0.0123597 0.0123594 0.999924 
0.0125114 0.0125111 0.999922 
0.012663 0.0126627 0.99992 
0.0128147 0.0128143 0.999918 
0.0129663 0.0129659 0.999916 
0.0131179 0.0131176 0.999914 
0.0132696 0.0132692 0.999912 
0.0134212 0.0134208 0.99991 
0.0135729 0.0135724 0.999908 
0.0137245 0.0137241 0.999906 
0.0138761 0.0138757 0.999904 
0.0140278 0.0140273 0.999902 
0.0141794 0.0141789 0.999899 
0.0143311 0.0143306 0.999897 
0.0144827 0.0144822 0.999895 
0.0146343 0.0146338 0.999893 
0.014786 0.0147854 0.999891 
0.0149376 0.0149371 0.999888 
0.0150893 0.0150887 0.999886 
0.0152409 0.0152403 0.999884 
0.0153925 0.0153919 0.999882 
0.0155442 0.0155435 0.999879 
0.0156958 0.0156952 0.999877 
0.0158474 0.0158468 0.999874 
0.0159991 0.0159984 0.999872 
0.0161507 0.01615 0.99987 
0.0163024 0.0163016 0.999867 
0.016454 0.0164533 0.999865 
0.0166056 0.0166049 0.999862 
0.0167573 0.0167565 0.99986 
0.0169089 0.0169081 0.999857 
0.0170606 0.0170597 0.999854 
0.0172122 0.0172113 0.999852 
0.0173638 0.017363 0.999849 
0.0175155 0.0175146 0.999847 
0.0176671 0.0176662 0.999844 
0.0178188 0.0178178 0.999841 
0.0179704 0.0179694 0.999839 
0.018122 0.018121 0.999836 
0.0182737 0.0182727 0.999833 
0.0184253 0.0184243 0.99983 
0.0185769 0.0185759 0.999827 
0.0187286 0.0187275 0.999825 
0.0188802 0.0188791 0.999822 
0.0190319 0.0190307 0.999819 
0.0191835 0.0191823 0.999816 
0.0193351 0.0193339 0.999813 
0.0194868 0.0194855 0.99981 
0.0196384 0.0196372 0.999807 
0.0197901 0.0197888 0.999804 
0.0199417 0.0199404 0.999801 
0.0200933 0.020092 0.999798 
0.020245 0.0202436 0.999795 
0.0203966 0.0203952 0.999792 
0.0205483 0.0205468 0.999789 
0.0206999 0.0206984 0.999786 
0.0208515 0.02085 0.999783 
0.0210032 0.0210016 0.999779 
0.0211548 0.0211532 0.999776 
0.0213065 0.0213048 0.999773 
0.0214581 0.0214564 0.99977 
