# rmax, e=
2 -0.126237


# r, Fe(e,r), exact
0 0 0
0.03125 0.0302745 0.0302885
0.0625 0.0586276 0.0587133
0.09375 0.085167 0.0853603
0.125 0.109963 0.110312
0.15625 0.133074 0.133648
0.1875 0.154565 0.155443
0.21875 0.174478 0.175771
0.25 0.192878 0.1947
0.28125 0.209817 0.212299
0.3125 0.225353 0.22863
0.34375 0.239535 0.243755
0.375 0.252415 0.257733
0.40625 0.264043 0.270621
0.4375 0.274466 0.282471
0.46875 0.283731 0.293336
0.5 0.291883 0.303265
0.53125 0.298967 0.312306
0.5625 0.305026 0.320503
0.59375 0.3101 0.3279
0.625 0.31423 0.334538
0.65625 0.317455 0.340458
0.6875 0.319813 0.345697
0.71875 0.321342 0.350291
0.75 0.322076 0.354275
0.78125 0.32205 0.357682
0.8125 0.321299 0.360545
0.84375 0.319854 0.362892
0.875 0.317747 0.364754
0.90625 0.315009 0.366158
0.9375 0.311669 0.36713
0.96875 0.307756 0.367696
1 0.303299 0.367879
1.03125 0.298324 0.367704
1.0625 0.292857 0.36719
1.09375 0.286923 0.36636
1.125 0.280548 0.365234
1.15625 0.273755 0.36383
1.1875 0.266566 0.362167
1.21875 0.259005 0.360262
1.25 0.251092 0.358131
1.28125 0.242848 0.35579
1.3125 0.234294 0.353255
1.34375 0.225449 0.350538
1.375 0.216331 0.347654
1.40625 0.206959 0.344616
1.4375 0.197351 0.341436
1.46875 0.187523 0.338125
1.5 0.177492 0.334695
1.53125 0.167273 0.331156
1.5625 0.156881 0.327518
1.59375 0.146333 0.32379
1.625 0.135641 0.319981
1.65625 0.124819 0.316101
1.6875 0.11388 0.312156
1.71875 0.102838 0.308155
1.75 0.0917038 0.304104
1.78125 0.08049 0.300011
1.8125 0.0692076 0.295882
1.84375 0.0578675 0.291724
1.875 0.0464803 0.287541
1.90625 0.0350559 0.283339
1.9375 0.0236045 0.279123
1.96875 0.0121348 0.274899
2 0.000655988 0.270671


# rmax, e=
3 -0.423997


# r, Fe(e,r), exact
0 0 0
0.046875 0.0446874 0.0447284
0.09375 0.085248 0.0853603
0.140625 0.121986 0.122177
0.1875 0.155157 0.155443
0.234375 0.184974 0.185406
0.28125 0.211668 0.212299
0.328125 0.235448 0.23634
0.375 0.256513 0.257733
0.421875 0.275049 0.276672
0.46875 0.291231 0.293336
0.515625 0.305224 0.307894
0.5625 0.317184 0.320503
0.609375 0.327255 0.331311
0.65625 0.335575 0.340458
0.703125 0.342272 0.348072
0.75 0.347467 0.354275
0.796875 0.351272 0.35918
0.84375 0.353794 0.362892
0.890625 0.355131 0.365512
0.9375 0.355377 0.36713
0.984375 0.354618 0.367834
1.03125 0.352937 0.367704
1.07812 0.350408 0.366814
1.125 0.347102 0.365234
1.17188 0.343088 0.36303
1.21875 0.338425 0.360262
1.26562 0.333172 0.356986
1.3125 0.327383 0.353255
1.35938 0.321112 0.349116
1.40625 0.314395 0.344616
1.45312 0.307282 0.339796
1.5 0.299811 0.334695
1.54688 0.29202 0.329349
1.59375 0.283943 0.32379
1.64062 0.275612 0.31805
1.6875 0.267055 0.312156
1.73438 0.258301 0.306135
1.78125 0.249373 0.300011
1.82812 0.240294 0.293806
1.875 0.231086 0.287541
1.92188 0.221766 0.281232
1.96875 0.212352 0.274899
2.01562 0.202859 0.268556
2.0625 0.193302 0.262217
2.10938 0.183693 0.255896
2.15625 0.174043 0.249604
2.20312 0.164363 0.243352
2.25 0.154661 0.237148
2.29688 0.144945 0.231003
2.34375 0.135222 0.224923
2.39062 0.125497 0.218915
2.4375 0.115775 0.212986
2.48438 0.106061 0.207141
2.53125 0.0963557 0.201385
2.57812 0.0866639 0.195721
2.625 0.076985 0.190154
2.67188 0.067322 0.184687
2.71875 0.0576734 0.179321
2.76562 0.0480395 0.174059
2.8125 0.0384196 0.168904
2.85938 0.0288129 0.163855
2.90625 0.0192187 0.158915
2.95312 0.00963148 0.154083
3 4.40283e-05 0.149361


# rmax, e=
4 -0.483259


# r, Fe(e,r), exact
0 0 0
0.0625 0.0586518 0.0587133
0.125 0.110187 0.110312
0.1875 0.155275 0.155443
0.25 0.194474 0.1947
0.3125 0.228328 0.22863
0.375 0.257333 0.257733
0.4375 0.281946 0.282471
0.5 0.302584 0.303265
0.5625 0.319634 0.320503
0.625 0.333448 0.334538
0.6875 0.34435 0.345697
0.75 0.352637 0.354275
0.8125 0.358578 0.360545
0.875 0.362424 0.364754
0.9375 0.364399 0.36713
1 0.364712 0.367879
1.0625 0.36355 0.36719
1.125 0.361086 0.365234
1.1875 0.357477 0.362167
1.25 0.352869 0.358131
1.3125 0.34738 0.353255
1.375 0.341134 0.347654
1.4375 0.334237 0.341436
1.5 0.326784 0.334695
1.5625 0.318862 0.327518
1.625 0.310549 0.319981
1.6875 0.301914 0.312156
1.75 0.29302 0.304104
1.8125 0.283924 0.295882
1.875 0.274676 0.287541
1.9375 0.265319 0.279123
2 0.255894 0.270671
2.0625 0.246435 0.262217
2.125 0.236972 0.253795
2.1875 0.227533 0.245431
2.25 0.21814 0.237148
2.3125 0.208812 0.228969
2.375 0.199568 0.220909
2.4375 0.19042 0.212986
2.5 0.18138 0.205212
2.5625 0.172458 0.197599
2.625 0.163663 0.190154
2.6875 0.154998 0.182887
2.75 0.146468 0.175802
2.8125 0.138075 0.168904
2.875 0.12982 0.162196
2.9375 0.121703 0.155682
3 0.113721 0.149361
3.0625 0.105873 0.143235
3.125 0.0981553 0.137303
3.1875 0.0905628 0.131564
3.25 0.0830906 0.126016
3.3125 0.0757326 0.120658
3.375 0.068482 0.115486
3.4375 0.0613303 0.110498
3.5 0.0542708 0.105691
3.5625 0.0472954 0.10106
3.625 0.040395 0.096603
3.6875 0.0335601 0.0923148
3.75 0.0267808 0.0881915
3.8125 0.0200467 0.0842291
3.875 0.0133472 0.0804231
3.9375 0.00667046 0.076769
4 5.39999e-06 0.0732626


# rmax, e=
5 -0.496414


# r, Fe(e,r), exact
0 0 0
0.078125 0.0721785 0.0722538
0.15625 0.133521 0.133648
0.234375 0.185246 0.185406
0.3125 0.228439 0.22863
0.390625 0.264085 0.26431
0.46875 0.293071 0.293336
0.546875 0.316194 0.316507
0.625 0.334167 0.334538
0.703125 0.347633 0.348072
0.78125 0.357163 0.357682
0.859375 0.363272 0.363882
0.9375 0.366417 0.36713
1.01562 0.367007 0.367835
1.09375 0.365405 0.36636
1.17188 0.361936 0.36303
1.25 0.356892 0.358131
1.32812 0.350517 0.351918
1.40625 0.343041 0.344616
1.48438 0.334664 0.336425
1.5625 0.32556 0.327518
1.64062 0.315884 0.31805
1.71875 0.30577 0.308155
1.79688 0.295336 0.297951
1.875 0.284683 0.287541
1.95312 0.273901 0.277012
2.03125 0.263066 0.266442
2.10938 0.252243 0.255896
2.1875 0.241489 0.245431
2.26562 0.230848 0.235093
2.34375 0.220363 0.224923
2.42188 0.210065 0.214954
2.5 0.199981 0.205212
2.57812 0.190132 0.195721
2.65625 0.180535 0.186498
2.73438 0.171202 0.177555
2.8125 0.162143 0.168904
2.89062 0.153362 0.16055
2.96875 0.144863 0.152497
3.04688 0.136647 0.144748
3.125 0.128711 0.137303
3.20312 0.121052 0.130159
3.28125 0.113666 0.123313
3.35938 0.106545 0.116762
3.4375 0.0996831 0.110498
3.51562 0.093071 0.104517
3.59375 0.0866997 0.0988103
3.67188 0.0805588 0.0933712
3.75 0.074639 0.0881915
3.82812 0.0689273 0.0832631
3.90625 0.0634142 0.0785773
3.98438 0.058087 0.0741256
4.0625 0.0529333 0.0698992
4.14062 0.0479421 0.0658894
4.21875 0.0430993 0.0620875
4.29688 0.0383928 0.0584849
4.375 0.0338105 0.0550731
4.45312 0.0293389 0.0518439
4.53125 0.0249636 0.0487889
4.60938 0.0206726 0.0459003
4.6875 0.0164525 0.0431704
4.76562 0.0122897 0.0405915
4.84375 0.00816963 0.0381564
4.92188 0.00407776 0.0358581
5 5.91621e-07 0.0336897


# rmax, e=
10 -0.5


# r, Fe(e,r), exact
0 0 0
0.15625 0.133526 0.133648
0.3125 0.228469 0.22863
0.46875 0.293163 0.293336
0.625 0.334364 0.334538
0.78125 0.357513 0.357682
0.9375 0.366968 0.36713
1.09375 0.366207 0.36636
1.25 0.357992 0.358131
1.40625 0.344486 0.344616
1.5625 0.327395 0.327518
1.71875 0.30804 0.308155
1.875 0.287433 0.287541
2.03125 0.266341 0.266442
2.1875 0.245335 0.245431
2.34375 0.224832 0.224923
2.5 0.205127 0.205212
2.65625 0.186419 0.186498
2.8125 0.168831 0.168904
2.96875 0.152432 0.152497
3.125 0.137246 0.137303
3.28125 0.123264 0.123313
3.4375 0.110456 0.110498
3.59375 0.0987747 0.0988103
3.75 0.0881619 0.0881915
3.90625 0.078553 0.0785773
4.0625 0.0698796 0.0698992
4.21875 0.0620721 0.0620875
4.375 0.0550613 0.0550731
4.53125 0.0487798 0.0487889
4.6875 0.0431642 0.0431704
4.84375 0.0381521 0.0381564
5 0.0336869 0.0336897
5.15625 0.0297155 0.0297169
5.3125 0.0261882 0.0261884
5.46875 0.0230594 0.023059
5.625 0.0202877 0.0202869
5.78125 0.0178355 0.0178343
5.9375 0.0156684 0.0156668
6.09375 0.0137539 0.0137532
6.25 0.0120662 0.0120653
6.40625 0.0105779 0.010578
6.5625 0.00926713 0.00926855
6.71875 0.00811402 0.00811657
6.875 0.00710011 0.00710392
7.03125 0.00620892 0.0062144
7.1875 0.00542597 0.00543358
7.34375 0.00473861 0.00474862
7.5 0.00413584 0.00414813
7.65625 0.00360789 0.003622
7.8125 0.00314262 0.00316129
7.96875 0.00273598 0.00275807
8.125 0.0023794 0.00240536
8.28125 0.00206605 0.00209698
8.4375 0.00179122 0.00182749
8.59375 0.00155129 0.00159208
8.75 0.0013378 0.00138654
8.90625 0.00115146 0.00120715
9.0625 0.000989122 0.00105064
9.21875 0.00084314 0.000914155
9.375 0.00071341 0.000795171
9.53125 0.000598387 0.000691482
9.6875 0.000495901 0.000601151
9.84375 0.000403987 0.000522486
10 0.000320923 0.000453999


